"Nom de la borne de recharge","Nom du parc","Adresse","Rue","Suite","Ville","Province","Code Postal","Région","Niveau de recharge","Latitude","Longitude","Coût","Mode de tarification","Type d’emplacement","Puissance (kW)"
"CEA-12392","100 rue Sainte-Angélique","100 rue Sainte-Angélique Saint-Basile QC G0A 3G0","100 rue Sainte-Angélique",,"Saint-Basile","QC","G0A 3G0","Capitale-Nationale","Niveau 2",46.757082,-71.825451,1,"par heure","",7.2
"CEA-11452","10001 | BSR | ANJ | 7070 Jean-Talon","7070 rue Jean-Talon Est Montréal QC H1M 3T4","7070 rue Jean-Talon Est",,"Montréal","QC","H1M 3T4","Montréal","Niveau 2",45.597132,-73.569316,1,"par heure","sur rue",7.2
"CEA-11314","10001 | BSR | ANJ | 7070 Jean-Talon","7070 rue Jean-Talon Est Montréal QC H1M 3T4","7070 rue Jean-Talon Est",,"Montréal","QC","H1M 3T4","Montréal","Niveau 2",45.597132,-73.569316,1,"par heure","sur rue",7.2
"CEA-11908","10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie","7111 Marie-G Lajoie Montréal QC H1J 2X8","7111 Marie-G Lajoie",,"Montréal","QC","H1J 2X8","Montréal","Niveau 2",45.605348,-73.585155,1,"par heure","",7.2
"CEA-11904","10002 | BSR | ANJ | 7111 Marie-Gérin Lajoie","7111 Marie-G Lajoie Montréal QC H1J 2X8","7111 Marie-G Lajoie",,"Montréal","QC","H1J 2X8","Montréal","Niveau 2",45.605348,-73.585155,1,"par heure","",7.2
"CEA-11323","10004 | BHR | ANJ | 7501 Rondeau","7501 Rondeau Montréal QC H1K 2P3","7501 Rondeau",,"Montréal","QC","H1K 2P3","Montréal","Niveau 2",45.61634620767123,-73.55157011723178,1,"par heure","",7.2
"CEA-11156","10004 | BHR | ANJ | 7501 Rondeau","7501 Rondeau Montréal QC H1K 2P3","7501 Rondeau",,"Montréal","QC","H1K 2P3","Montréal","Niveau 2",45.61634620767123,-73.55157011723178,1,"par heure","",7.2
"CEA-10038","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","sur rue",7.2
"CEA-10134","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","sur rue",7.2
"CEA-10157","10006 | BSR | ANJ | 7171 Bombardier - Atelier municipal","7171 Rue Bombardier Montréal QC H1J 2E9","7171, Rue Bombardier",,"Montréal","QC","H1J 2E9","Montréal","Niveau 2",45.6074819,-73.5865146,1,"par heure","",7.2
