NOM_EVENEMENT,DATE,VILLE
LES UNION THUGS : ROCK ET RENOUVEAU SYNDICAL,2022-12-28,La Baie
FRÈRELOYALE02 & FOU BRK,2022-01-07,Jonquière
ON VA TOUS MOURIR,2022-01-13,Chicoutimi
LE THÉÂTRE LA RUBRIQUE PRÉSENTE ZÉRO,2022-01-14,Jonquière
MAX PEARSON & MAT LÉVESQUE,2022-01-14,Dolbeau-Mistassini
LAURENT PAQUIN & SIMON BOUDREAULT,2022-01-14,Roberval
BLUFF,2022-01-14,Alma
LILA ET JUILLET - PLATEAU DOUBLE,2022-01-14,Jonquière
LAURENT PAQUIN & SIMON BOUDREAULT,2022-01-15,Dolbeau-Mistassini
SAM BRETON,2022-01-19,Chicoutimi
ROCH VOISINE,2022-01-20,Dolbeau-Mistassini
SAM BRETON,2022-01-20,Alma
ROCH VOISINE,2022-01-21,Chicoutimi
SIMON BRETON,2022-01-21,Dolbeau-Mistassini
JE REVIENS CHEZ NOUS,2022-01-21,Alma
ANDRÉANNE A. MALETTE - SITKA,2022-01-21,Roberval
JE REVIENS CHEZ NOUS,2022-01-21,Alma
ANDRÉANNE A. MALETTE - SITKA,2022-01-22,Jonquière
ARTHUR L'AVENTURIER,2022-01-23,Jonquière
JAY SCOTT,2022-01-27,Jonquière
JAY SCØTT,2022-01-27,Jonquière
BENOIT LABONTÉ,2022-01-28,Dolbeau-Mistassini
SIMON LEBLANC,2022-02-03,Chicoutimi
MARIO PELCHAT,2022-02-03,Dolbeau-Mistassini
VÉRANDA,2022-02-03,Saint-Prime
DUMAS,2022-02-04,Jonquière
VÉRANDA,2022-02-04,Alma
VÉRANDA,2022-02-05,Jonquière
MARIO PELCHAT,2022-02-06,Alma
LUDOVICK BOURGEOIS,2022-02-09,Jonquière
PIERRE-YVES ROY-DESMARAIS,2022-02-09,Alma
SIMON DELISLE,2022-02-10,Jonquière
PIERRE-YVES ROY-DESMARAIS,2022-02-10,Dolbeau-Mistassini
LUDOVICK BOURGEOIS,2022-02-10,Alma
JP « LE PAD » TREMBLAY,2022-02-10,Jonquière
PIERRE-YVES ROY-DESMARAIS,2022-02-11,La Baie
ÉMILE PROULX-CLOUTIER,2022-02-11,Jonquière
DOMINIC PAQUET,2022-02-12,Alma
DOMINIC PAQUET,2022-02-13,Dolbeau-Mistassini
POUR UNE HISTOIRE D'UN SOIR,2022-02-16,Chicoutimi
RACHID BADOURI,2022-02-17,Dolbeau-Mistassini
BEYRIES,2022-02-17,Alma
GUILLAUME PINEAULT,2022-02-17,Chicoutimi
P-A MÉTHOT,2022-02-18,Chicoutimi
POUR UNE HISTOIRE D'UN SOIR,2022-02-18,Dolbeau-Mistassini
MICHEL BARRETTE,2022-02-18,Alma
SHEENAH KO,2022-02-18,Jonquière
IRVIN BLAIS,2022-02-19,La Baie
TAKTIKA & SOULDIA,2022-02-19,Jonquière
MICHEL BARRETTE,2022-02-19,Dolbeau-Mistassini
OSSLSJ ET JULIE BOULIANNE,2022-02-19,Alma
BEYRIES,2022-02-19,Jonquière
JULIE BOULIANNE,2022-02-20,Dolbeau-Mistassini
DAMIEN ROBITAILLE,2022-02-20,Saint-Prime
SALEBARBES,2022-02-23,Roberval
