EVENTID,EVENTNOM,EVENTLOCALISATION,EVENTDATEDEBUT,EVENTDATEFIN,EVENTHEURE,EVENTPAR,EVENTTELEPHONE,EVENTCOURRIEL,EVENTAGE
3250,"Hiver - printemps 2020/2021 : Exposition de Paul « Tex » Lecor, Fils de la liberté",Centre d'art Diane-Dufresne,2020-12-08,2021-04-11,,Centre d'art Diane-Dufresne,,,Pour tous
3573,Points de vue: une collection en évolution,Centre d'art Diane-Dufresne,2021-02-10,2021-04-03,,Centre d'art Diane-Dufresne,,,Pour tous
3666,Dans les yeux de ma soeur : Carole Dufresne ,Centre d'art Diane-Dufresne ,2021-02-10,2021-04-03,,Centre d'art Diane-Dufresne,,,Pour tous
3750,Table ronde - Des personnages féminins forts,En direct sur la page Facebook du Club de lecture,2021-03-09,2021-03-09,19 h,Amélie Boivin-Handfield,,,
3746,Histoire en ligne,Chaîne YouTube des bibliothèques et page Facebook du Fouineur,2021-03-11,2021-03-11,18 h 45,,,,
3728,Contes surprises avec Lucie - Le corps humain,Plateforme Teams,2021-03-12,2021-03-12,10 h,,,,2 à 5 ans
3720,Atelier bougeotte - Potage aux légumes,Plateforme Zoom,2021-03-14,2021-03-14,10 h,Les Bougeottes,,,2 à 5 ans
3721,Réseaux sociaux : vers une utilisation responsable,Plateforme Zoom,2021-03-18,2021-03-18,14 h,AlphaNumérique,,,
3761,Conférence rénovation écologique,Plateforme ClickMeeting,2021-03-18,2021-03-18,19 h à 21 h,,,,
3722,Introduction au concept de l’infonuagique,Plateforme Zoom,2021-03-25,2021-03-25,14 h,AlphaNumérique,,,
3729,Contes surprises avec Lucie - Pâques,Plateforme Teams,2021-03-26,2021-03-26,10 h,,,,2 à 5 ans
3723,Cliquer ou ne pas cliquer : Reconnaître et se protéger de l'hameçonnage,Plateforme Zoom,2021-03-30,2021-03-30,14 h,AlphaNumérique,,,
3740,Les animaux de Pâques,Plateforme Zoom,2021-04-01,2021-04-01,18 h 45,Éducazoo,,,0 à 8 ans
3741,Les animaux de Pâques,Plateforme Zoom,2021-04-01,2021-04-01,19 h 30,Éducazoo,,,8 à 12 ans
3753,Histoire en ligne,Chaîne YouTube des bibliothèques / page Facebook du Fouineur,2021-04-08,2021-04-08,18 h 45,,,,
3731,Contes surprises avec Lucie - La ferme,Plateforme Teams,2021-04-09,2021-04-09,10 h,,,,2 à 5 ans
3754,Planète en musique,Chaîne YouTube des bibliothèque / page Facebook du Fouineur,2021-04-11,2021-04-25,10 h,Productions Marie Chevrier,,,
3765,Atelier de lecture - Sensibilisation à l'autisme,Plateforme Teams,2021-04-17,2021-04-17,10 h,,,,4 à 7 ans
3730,Bien manger : pour le meilleur et le plaisir,Plateforme Teams,2021-04-20,2021-04-20,19 h,"Stéphanie Côté, nutritionniste",,,
3739,Écrits fantômes : moeurs et usages de l'éditeur moderne,Plateforme Teams,2021-04-22,2021-04-22,19 h,Antoine Tanguay,,,
3732,Contes surprises avec Lucie - Les oiseaux,Plateforme Teams,2021-04-23,2021-04-23,10 h,,,,2 à 5 ans
3733,La mystérieuse école,Plateforme Zoom,2021-05-02,2021-05-02,14 h,"Marc Trudel, magicien",,,6 à 12 ans
3712,"Exposition Paul Tex Lecor : fils de la liberté - Robert Bernier, commissaire ",Centre d'art Diane-Dufresne,2021-05-04,2021-09-26,,Centre d'art Diane-Dufresne,,,Pour tous
3755,Histoire en ligne,Chaîne YouTube des bibliothèques / page Facebook du Fouineur,2021-05-06,2021-05-06,18 h 45,,,,
3735,Contes surprises avec Lucie - Les insectes,Plateforme Teams,2021-05-07,2021-05-07,10 h,,,,2 à 5 ans
3734,Apprentis jardiniers,Plateforme Zoom,2021-05-15,2021-05-15,9 h,Anne-Marie Fortin,,,4 à 7 ans
3756,"Table ronde - Écrire, un autre métier",En direct sur la page Facebook du Club de lecture,2021-05-18,2021-05-18,19 h,Amélie Boivin-Handfield,,,
3736,Contes surprises avec Lucie - La famille,Plateforme Teams,2021-05-21,2021-05-21,10 h,,,,2 à 5 ans
3738,Le bonheur d'être un parent imparfait,Plateforme Teams,2021-06-01,2021-06-01,19 h,"Stéphanie Deslauriers, autrice et psychoéducatrice",,,
3757,Histoire en ligne,Chaîne YouTube des bibliothèques / page Facebook du Fouineur,2021-06-03,2021-06-03,18 h 45,,,,
3737,Contes surprises avec Lucie - L'été,Plateforme Teams,2021-06-04,2021-06-04,10 h,,,,2 à 5 ans
3285,Printemps 2022 : Exposition Carnaval l'univers des Cowboys Fringants,Centre d'art Diane-Dufresne,2021-06-22,2021-09-26,,Division culture de la Ville de Repentigny,,,
