NOM_EVENEMENT,DATE,VILLE
LES UNION THUGS : ROCK ET RENOUVEAU SYNDICAL,2021-12-28T00:00:00.000-05:00,La Baie
FRÈRELOYALE02 & FOU BRK,2022-01-07T00:00:00.000-05:00,Jonquière
ON VA TOUS MOURIR,2022-01-13T00:00:00.000-05:00,Chicoutimi
LE THÉÂTRE LA RUBRIQUE PRÉSENTE ZÉRO,2022-01-14T00:00:00.000-05:00,Jonquière
MAX PEARSON & MAT LÉVESQUE,2022-01-14T00:00:00.000-05:00,Dolbeau-Mistassini
LAURENT PAQUIN & SIMON BOUDREAULT,2022-01-14T00:00:00.000-05:00,Roberval
BLUFF,2022-01-14T00:00:00.000-05:00,Alma
LILA ET JUILLET - PLATEAU DOUBLE,2022-01-14T00:00:00.000-05:00,Jonquière
LAURENT PAQUIN & SIMON BOUDREAULT,2022-01-15T00:00:00.000-05:00,Dolbeau-Mistassini
SAM BRETON,2022-01-19T00:00:00.000-05:00,Chicoutimi
ROCH VOISINE,2022-01-20T00:00:00.000-05:00,Dolbeau-Mistassini
SAM BRETON,2022-01-20T00:00:00.000-05:00,Alma
ROCH VOISINE,2022-01-21T00:00:00.000-05:00,Chicoutimi
SIMON BRETON,2022-01-21T00:00:00.000-05:00,Dolbeau-Mistassini
JE REVIENS CHEZ NOUS,2022-01-21T00:00:00.000-05:00,Alma
ANDRÉANNE A. MALETTE - SITKA,2022-01-21T00:00:00.000-05:00,Roberval
JE REVIENS CHEZ NOUS,2022-01-21T00:00:00.000-05:00,Alma
ANDRÉANNE A. MALETTE - SITKA,2022-01-22T00:00:00.000-05:00,Jonquière
ARTHUR L'AVENTURIER,2022-01-23T00:00:00.000-05:00,Jonquière
JAY SCOTT,2022-01-27T00:00:00.000-05:00,Jonquière
JAY SCØTT,2022-01-27T00:00:00.000-05:00,Jonquière
BENOIT LABONTÉ,2022-01-28T00:00:00.000-05:00,Dolbeau-Mistassini
SIMON LEBLANC,2022-02-03T00:00:00.000-05:00,Chicoutimi
MARIO PELCHAT,2022-02-03T00:00:00.000-05:00,Dolbeau-Mistassini
VÉRANDA,2022-02-03T00:00:00.000-05:00,Saint-Prime
DUMAS,2022-02-04T00:00:00.000-05:00,Jonquière
VÉRANDA,2022-02-04T00:00:00.000-05:00,Alma
VÉRANDA,2022-02-05T00:00:00.000-05:00,Jonquière
MARIO PELCHAT,2022-02-06T00:00:00.000-05:00,Alma
LUDOVICK BOURGEOIS,2022-02-09T00:00:00.000-05:00,Jonquière
PIERRE-YVES ROY-DESMARAIS,2022-02-09T00:00:00.000-05:00,Alma
SIMON DELISLE,2022-02-10T00:00:00.000-05:00,Jonquière
PIERRE-YVES ROY-DESMARAIS,2022-02-10T00:00:00.000-05:00,Dolbeau-Mistassini
LUDOVICK BOURGEOIS,2022-02-10T00:00:00.000-05:00,Alma
JP « LE PAD » TREMBLAY,2022-02-10T00:00:00.000-05:00,Jonquière
PIERRE-YVES ROY-DESMARAIS,2022-02-11T00:00:00.000-05:00,La Baie
ÉMILE PROULX-CLOUTIER,2022-02-11T00:00:00.000-05:00,Jonquière
DOMINIC PAQUET,2022-02-12T00:00:00.000-05:00,Alma
DOMINIC PAQUET,2022-02-13T00:00:00.000-05:00,Dolbeau-Mistassini
POUR UNE HISTOIRE D'UN SOIR,2022-02-16T00:00:00.000-05:00,Chicoutimi
RACHID BADOURI,2022-02-17T00:00:00.000-05:00,Dolbeau-Mistassini
BEYRIES,2022-02-17T00:00:00.000-05:00,Alma
GUILLAUME PINEAULT,2022-02-17T00:00:00.000-05:00,Chicoutimi
P-A MÉTHOT,2022-02-18T00:00:00.000-05:00,Chicoutimi
POUR UNE HISTOIRE D'UN SOIR,2022-02-18T00:00:00.000-05:00,Dolbeau-Mistassini
MICHEL BARRETTE,2022-02-18T00:00:00.000-05:00,Alma
SHEENAH KO,2022-02-18T00:00:00.000-05:00,Jonquière
IRVIN BLAIS,2022-02-19T00:00:00.000-05:00,La Baie
TAKTIKA & SOULDIA,2022-02-19T00:00:00.000-05:00,Jonquière
MICHEL BARRETTE,2022-02-19T00:00:00.000-05:00,Dolbeau-Mistassini
OSSLSJ ET JULIE BOULIANNE,2022-02-19T00:00:00.000-05:00,Alma
BEYRIES,2022-02-19T00:00:00.000-05:00,Jonquière
JULIE BOULIANNE,2022-02-20T00:00:00.000-05:00,Dolbeau-Mistassini
DAMIEN ROBITAILLE,2022-02-20T00:00:00.000-05:00,Saint-Prime
SALEBARBES,2022-02-23T00:00:00.000-05:00,Roberval
LYNDA LEMAY,2022-02-24T00:00:00.000-05:00,Dolbeau-Mistassini
SALEBARBES,2022-02-24T00:00:00.000-05:00,Chicoutimi
LE RÊVE DU DIABLE,2022-02-24T00:00:00.000-05:00,Jonquière
RÉVOLUTION EN TOURNÉE,2022-02-25T00:00:00.000-05:00,La Baie
LYNDA LEMAY,2022-02-25T00:00:00.000-05:00,Alma
ALACLAIR ENSEMBLE,2022-02-25T00:00:00.000-05:00,Jonquière
LE RÊVE DU DIABLE,2022-02-25T00:00:00.000-05:00,Saint-Prime
LYNDA LEMAY,2022-02-26T00:00:00.000-05:00,Chicoutimi
LE RÊVE DU DIABLE,2022-02-26T00:00:00.000-05:00,Alma
KATTAM ET SES TAMS-TAMS,2022-02-28T00:00:00.000-05:00,Dolbeau-Mistassini
KID KOUNA,2022-03-03T00:00:00.000-05:00,Saint-Prime
LE THÉÂTRE LA RUBRIQUE PRÉSENTE MASHINIKAN/LE LIVRE,2022-03-03T00:00:00.000-05:00,Jonquière
2FRÈRES,2022-03-03T00:00:00.000-05:00,Alma
MARIE CLAUDEL,2022-03-03T00:00:00.000-05:00,Jonquière
KID KOUNA,2022-03-04T00:00:00.000-05:00,Alma
2 FRÈRES,2022-03-04T00:00:00.000-05:00,La Baie
BELLE GRAND FILLE ET MARIE CLAUDEL,2022-03-04T00:00:00.000-05:00,Saint-Prime
THE PLANET SMASHERS,2022-03-04T00:00:00.000-05:00,Jonquière
LA BRONZE,2022-03-04T00:00:00.000-05:00,Jonquière
BRUNO PELLETIER,2022-03-05T00:00:00.000-05:00,Chicoutimi
2FRÈRES,2022-03-05T00:00:00.000-05:00,Dolbeau-Mistassini
BELLE GRAND FILLE ET MARIE CLAUDEL,2022-03-05T00:00:00.000-05:00,Alma
EMIE R ROUSSEL TRIO,2022-03-05T00:00:00.000-05:00,Jonquière
QUARTOM,2022-03-06T00:00:00.000-05:00,Chicoutimi
2FRÈRES,2022-03-06T00:00:00.000-05:00,Roberval
JEAN-FRANÇOIS MERCIER,2022-03-10T00:00:00.000-05:00,Jonquière
MARIANA MAZZA,2022-03-11T00:00:00.000-05:00,La Baie
ALEXANDRE POULIN,2022-03-11T00:00:00.000-05:00,Chicoutimi
CATHY GAUTHIER,2022-03-11T00:00:00.000-05:00,Alma
PELCH & GENEVIÈVE RACETTE - PLATEAU DOUBLE,2022-03-11T00:00:00.000-05:00,Jonquière
ALAIN CHOQUETTE,2022-03-12T00:00:00.000-05:00,Chicoutimi
CATHY GAUTHIER,2022-03-12T00:00:00.000-05:00,Dolbeau-Mistassini
ALEXANDRE POULIN,2022-03-12T00:00:00.000-05:00,Alma
ORCHESTRE DE L'AGORA,2022-03-13T00:00:00.000-05:00,Alma
"FROID, DISTANT",2022-03-15T00:00:00.000-04:00,Alma
RICHARDSON ZÉPHIR,2022-03-17T00:00:00.000-04:00,Jonquière
VÉRONIQUE LABBÉ ET HERT LEBLANC,2022-03-17T00:00:00.000-04:00,Alma
MARTIN PETIT,2022-03-18T00:00:00.000-04:00,Jonquière
